FirstName,LastName,Email,Address,Phone,DOB,SSN,Sal
Satyaki,De,Satyaki.De45@mail.com,20 Broadway Rd,560.450.2345,1980-02-23,109.23.4546,7880.56
Andy,Rokuto,Andy.R65@mail.com,1 hut Rd,260.350.1345,1985-12-02,149.12.7746,5678.09
Nick,Barn,Nic.Barn@mail.com,110 Sun Ct,230.770.2865,1990-07-13,102.27.9846,6798.33
Bayarn,Paul,B.Paul5@mail.com,120 Grosswave Rd,120.890.2334,1965-12-07,103.02.8846,9875.34
Anirban,Banerjee,AB65@mail.com,78 Jut Rd,523.412.2115,1989-07-19,149.73.2546,9923.56
Kristen,Betty,Kbetty@mail.com,103 Circular Rd,780.452.5345,2001-02-12,149.45.4776,4509.98
Abis,Scotch,abis@mail.com,98 longway Rd,509.230.2995,2005-11-12,129.12.0946,5600.35
Terri,Borde,T.Bor@mail.com,91 Circa Rd,870.412.2309,2011-12-30,909.07.3346,9876.34
Juilian,Dev,Julian5@mail.com,34 Reflexsions Rd,521.670.1145,2012-07-11,339.07.5546,6709.55
Hulian,Alope,Huli.al75@mail.com,34 Circle Rd,908.230.7745,1985-06-17,155.98.3346,10005.34
